Gender,Work Experience (Years) ,Education,Type of project ,Project budget (Core Npr),Leadership,Personal Characteristics ,Team Development & Delegation ,Communication Skills ,Technical Skills,Planning Skills,Organizational Skills ,Decision Making Skills,Analytical Abilities,Problem Solving/Coping With Siutation,Stakeholder/Relationship Management,Cost Management ,Time Management ,Health & Safety Knowledge ,Overall Competency 
1,15,2,1,70,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3
1,30,2,1,2.85,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3
1,16,2,1,93.19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,18,2,1,93.47,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3
1,17,2,1,60.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,20,1,4,70,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2
1,15,1,1,98,2,1,2,1,1,2,2,2,3,2,2,3,2,2,2
1,21,1,1,20,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2
1,25,1,5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,20,1,2,38,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2
1,15,2,2,100,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1,12,2,7,50,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1,20,2,7,50,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2
1,20,2,7,25,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
1,15,2,3,52,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2
1,7,2,6,28,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2
1,10,2,3,28,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2
1,12,1,6,70,1,1,2,1,1,1,1,2,2,1,1,2,1,1,3
1,22,2,3,100,2,1,3,2,3,2,2,2,3,2,1,2,1,2,2
1,27,2,6,60,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2
1,7,2,1,96,2,1,2,2,1,1,2,2,2,3,2,1,2,3,1
1,10,1,5,65,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2
1,16,2,1,17,1,1,1,1,2,2,1,2,2,1,1,2,2,3,2
1,12,2,1,15,2,1,2,2,3,2,2,2,3,2,2,2,2,3,2
1,4,2,1,21,2,1,2,2,1,1,1,2,2,3,2,2,2,3,1
1,14,2,1,25,1,1,1,1,2,1,1,1,2,1,1,2,1,3,3
1,19,2,1,35,1,2,2,1,3,2,2,1,2,1,2,3,2,3,2
1,16,1,2,100,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2
1,18,2,3,9,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2
1,26,2,2,32,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3
1,8,2,1,50,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2
1,8,2,2,65,2,1,2,1,1,2,2,2,1,2,2,3,1,1,2
1,22,2,4,38,2,1,1,3,2,2,2,1,1,1,2,3,2,2,1
1,25,2,1,72,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3
1,10,1,7,72,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2
1,8,1,7,75,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1,9,2,7,92,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2
1,12,2,1,10,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
1,5,2,1,45,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2
1,7,2,3,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,10,2,1,10,2,1,2,2,1,2,2,3,2,1,1,2,2,3,2
1,5,2,1,100,1,2,2,3,2,2,1,2,3,2,1,3,2,2,2
1,10,1,8,25,1,1,1,2,1,2,1,1,1,1,2,2,1,1,3
1,8,2,1,30,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2
1,10,2,1,20,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2
1,7,2,3,15,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2
1,22,1,1,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,10,2,1,21,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2
1,15,2,2,90,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3
